STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,hlth_pb,Health problems,isced11,International Standard Classification of Education (ISCED 2011),sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,AT,Austria,2014,,7.7,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,BE,Belgium,2014,,6.7,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,BG,Bulgaria,2014,,3.2,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,CY,Cyprus,2014,,3.6,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,CZ,Czechia,2014,,3.9,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,DE,Germany,2014,,10.6,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,DK,Denmark,2014,,8.0,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,EE,Estonia,2014,,4.8,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,EL,Greece,2014,,4.7,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,ES,Spain,2014,,7.8,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,EU27_2020,European Union - 27 countries (from 2020),2014,,6.9,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,EU28,European Union - 28 countries (2013-2020),2014,,7.1,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,FI,Finland,2014,,10.5,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,FR,France,2014,,5.9,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,HR,Croatia,2014,,5.7,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,HU,Hungary,2014,,4.9,,,,,
